feature,importance_mean_abs_shap,importance_normalized
CV charge time,0.015174726187551646,1.0
voltage kurtosis,0.01390327931857196,0.9162128625409599
CC charge time,0.011227662496265793,0.7398922627991953
current slope,0.009750656961374459,0.6425590050760364
voltage skewness,0.009380135756534165,0.6181420106432639
CC Q,0.007740478606528908,0.5100901664294075
voltage slope,0.0075580365222516115,0.4980674068736562
CV Q,0.00728973828630289,0.48038680871111306
voltage entropy,0.007239545694064463,0.4770791646971076
current entropy,0.00692167430555182,0.45613174300501774
current skewness,0.006890467290325072,0.45407523043002657
current kurtosis,0.006541354932729983,0.4310690586362002
