voltage kurtosis,voltage skewness,CC Q,CC charge time,voltage slope,voltage entropy,current kurtosis,current skewness,CV Q,CV charge time,current slope,current entropy
-1.2319068,0.0360152,0.33658335,303.005,0.0006589502,5.4791584,-0.5037388,0.77340883,0.07541667,1182.4501,-0.0007899565,6.687918
-1.2180455,0.06032307,0.32391667,291.51,0.00069759286,5.43635,-0.4883123,0.77933836,0.068833336,1080.39,-0.00087815215,6.5970654
-1.2211773,0.038941186,0.32941666,296.46,0.0006747286,5.458734,-0.51889855,0.7644985,0.0615,958.47,-0.0009682733,6.4812627
-1.210595,0.033804104,0.32616666,293.785,0.0006788801,5.452347,-0.54272306,0.75433457,0.052083332,810.61,-0.0011266941,6.313198
-1.2266754,0.00505098,0.34225,308.075,0.0006348202,5.522003,-0.5152569,0.76965976,0.06341667,989.095,-0.0009311662,6.5306616
-1.2239002,0.04744966,0.33183333,298.56,0.0006744432,5.463298,-0.5021747,0.7721764,0.06841667,1071.91,-0.0008758041,6.5915375
-1.2206613,0.05077947,0.32783332,295.17,0.00068401743,5.4531426,-0.49821568,0.7739169,0.06725,1052.58,-0.00089398574,6.574867
-1.2277035,0.012698066,0.34016666,305.93,0.00064255274,5.514254,-0.5091038,0.7708081,0.06275,982.33,-0.0009474733,6.5252953
-1.2040802,0.03135729,0.3175,285.78,0.0006966548,5.4261703,-0.5252694,0.76092255,0.05875,913.7,-0.0010144392,6.432983
-1.2224232,0.05689316,0.32741666,294.935,0.0006866913,5.4493794,-0.45953387,0.7940547,0.072,1131.365,-0.0008514459,6.641148
-1.2211709,0.04691513,0.32958335,296.55,0.0006791936,5.4683657,-0.50528,0.76980686,0.06616667,1031.61,-0.00090845826,6.5663176
-1.2236882,0.052158616,0.33116665,298.09,0.00067644723,5.460969,-0.47065288,0.78847986,0.07158333,1125.145,-0.00085141335,6.636399
-1.201251,0.035170007,0.31466666,283.2,0.0007046205,5.417039,-0.5305161,0.7582873,0.058083333,904.755,-0.0010192896,6.4235888
-1.2324904,0.03400647,0.33625,302.605,0.00065897766,5.477667,-0.5084083,0.77103525,0.075666666,1184.86,-0.0007855783,6.690392
-1.2023233,0.038054455,0.31225,281.005,0.00071331766,5.405796,-0.49905285,0.7734364,0.06675,1044.615,-0.0009002436,6.5650716
-1.208177,0.039675687,0.32266667,290.43,0.00068872026,5.4405103,-0.5498162,0.7502251,0.05125,796.44,-0.0011402395,6.2971587
-1.2172178,0.05418592,0.32466668,292.26,0.00069360505,5.4491034,-0.5038385,0.7706013,0.06508333,1019.855,-0.0009210624,6.5511417
-1.2010663,0.0363955,0.31141666,280.23,0.00071397645,5.414535,-0.5049049,0.77044827,0.064,1000.665,-0.0009395979,6.532024
-1.2132362,0.031008296,0.32608333,293.665,0.00067753316,5.452066,-0.5440996,0.75346357,0.052166667,810.495,-0.0011241402,6.313883
-1.220425,0.015634196,0.33516666,301.74,0.0006541876,5.4916887,-0.5257896,0.76362145,0.061166666,952.48,-0.0009639032,6.4853473
-1.2021319,0.032852642,0.3135,282.175,0.0007068692,5.4342046,-0.51026744,0.7681458,0.0625,974.675,-0.00095895,6.518693
-1.2189612,0.04617571,0.32483333,292.395,0.0006880916,5.464585,-0.5090585,0.7692047,0.062333334,975.545,-0.00095891656,6.520459
-1.2082014,0.043218456,0.31808335,286.32,0.0007010248,5.431874,-0.5190928,0.76368064,0.060416665,942.695,-0.0009858769,6.4715486
-1.208701,0.048417818,0.31825,286.325,0.0007040696,5.4331985,-0.50102633,0.7723508,0.06458333,1013.005,-0.00092789665,6.5444174
-1.22051,0.039357584,0.3285,295.77,0.00067643815,5.455747,-0.5202578,0.7638295,0.060833335,948.95,-0.0009764938,6.4716578
-1.2129618,0.025058588,0.33141667,298.37,0.0006641811,5.469856,-0.5379146,0.7581367,0.052583333,818.835,-0.0011151711,6.323711
-1.2093558,0.049974803,0.31783333,286.1,0.00070590264,5.4212537,-0.49778882,0.7742383,0.06733333,1053.465,-0.0008930908,6.5736275
-1.2271606,0.0028284756,0.34333333,309.065,0.00063166645,5.5255966,-0.5144701,0.77018166,0.06341667,988.66,-0.00093115476,6.530156
-1.2105117,0.041505087,0.32041666,288.27,0.0006960836,5.4530153,-0.51338893,0.766235,0.061833333,967.98,-0.00096326147,6.5127587
-1.2106483,0.035949234,0.32325,290.83,0.00068660115,5.4415374,-0.547074,0.7511491,0.053416666,826.31,-0.0011018403,6.3335395
-1.2079191,0.03953616,0.32091665,288.96,0.00069220277,5.4353614,-0.55723363,0.74570733,0.05025,782.775,-0.0011550109,6.280897
-1.2273566,0.029684605,0.33508334,301.57,0.00065939315,5.497592,-0.5116978,0.76820904,0.064,1000.655,-0.00093214994,6.545494
-1.2214234,0.048126552,0.32908332,296.08,0.0006812351,5.4703293,-0.49806377,0.77398473,0.066,1032.39,-0.0009098352,6.5690827
-1.2181602,0.027977532,0.33066666,297.585,0.0006679362,5.482976,-0.51425266,0.76846844,0.061333332,959.36,-0.00096849067,6.4994125
-1.2304524,0.012046636,0.339,305.095,0.00064472435,5.4886484,-0.55795425,0.7522044,0.076916665,1198.275,-0.0007506263,6.6989346
-1.2023792,0.035711985,0.31266665,281.37,0.0007122516,5.408077,-0.4980465,0.77390456,0.066083334,1033.73,-0.0009121513,6.5538793
-1.2011238,0.045229167,0.31991667,287.89,0.0006975859,5.432263,-0.56219596,0.7430649,0.04916667,764.395,-0.0011800489,6.256497
-1.2006608,0.04026722,0.30791667,277.19,0.00072393205,5.392183,-0.495808,0.7753899,0.065916665,1033.725,-0.00091194187,6.553278
-1.2244081,0.049412064,0.33258334,299.15,0.0006731418,5.4646177,-0.50383395,0.7709565,0.06908333,1081.015,-0.0008657841,6.600866
-1.2282897,0.010869113,0.34058332,306.45,0.00064071617,5.516661,-0.5079051,0.7716631,0.06283333,984.2,-0.00094593875,6.526904
-1.2159606,0.036314018,0.32558334,292.965,0.00068322435,5.4687,-0.5179905,0.76496106,0.059916668,933.68,-0.0009939683,6.475049
-1.225908,0.045431476,0.33383334,300.315,0.0006686829,5.4691825,-0.5040845,0.7708611,0.069,1080.755,-0.00086513197,6.600563
-1.2177795,0.03049993,0.31116667,280.0,0.0007150876,5.398985,-0.4345207,0.809577,0.07575,1198.38,-0.0008147389,6.6918073
-1.2192843,0.05771805,0.326,293.27,0.00069151213,5.444101,-0.49993476,0.77293944,0.06825,1067.145,-0.00087975466,6.5875354
-1.217015,0.054307997,0.32525,292.765,0.000692558,5.4510665,-0.5030371,0.7709551,0.06525,1022.53503,-0.0009190797,6.55381
-1.2026424,0.037109494,0.32925,296.34,0.0006740226,5.463528,-0.5538093,0.75056213,0.050833333,789.795,-0.001149998,6.2863355
-1.2258849,0.0037901183,0.34341666,309.115,0.00063221005,5.525395,-0.51907456,0.7684755,0.06383333,994.8,-0.00092230557,6.5364065
-1.2021861,0.03762847,0.31183332,280.565,0.000714082,5.404236,-0.5004906,0.7726369,0.06733333,1052.255,-0.0008935854,6.5726023
-1.2163156,0.023325196,0.33033332,297.45,0.0006652996,5.4655223,-0.53612214,0.7581634,0.053166665,827.5,-0.0011053095,6.3336873
-1.2019832,0.035150897,0.31366667,282.235,0.0007072106,5.4341097,-0.5178949,0.76368785,0.060666665,948.375,-0.000980383,6.493585
-1.2323222,0.034274083,0.33583334,302.225,0.0006600349,5.4762316,-0.5093798,0.77085507,0.07575,1186.255,-0.0007842636,6.691326
-1.2105409,0.049074207,0.299,269.075,0.0007504392,5.3592567,-0.3975527,0.8256379,0.07416667,1178.44,-0.00084597187,6.6743455
-1.2113698,0.044626642,0.3015,271.4,0.000742696,5.367922,-0.40861046,0.8206693,0.074,1174.0599,-0.00084224576,6.6715107
-1.2093753,0.050739657,0.31566668,284.165,0.0007115142,5.4136066,-0.4895867,0.7788777,0.06741667,1059.665,-0.00089418725,6.5773687
-1.214018,0.0075508063,0.34383333,309.56,0.0006330194,5.509852,-0.54065496,0.7613923,0.055666666,863.84503,-0.0010409222,6.376023
-1.214328,0.029582651,0.32641667,293.745,0.0006761543,5.4559464,-0.5446861,0.75280374,0.052583333,816.1,-0.0011152283,6.3239026
